SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,price_per_sqft,property_age,listing_category
2126,4,1,Rural,1969,215355.28361820136,101.29599417601193,56,Mid-Range
2459,3,2,Rural,1980,195014.22162584803,79.306312169926,45,Mid-Range
1860,2,1,Suburb,1970,306891.0120763329,164.99516778297468,55,High-End
2294,2,1,Urban,1996,206786.78715332696,90.14245298750086,29,Mid-Range
2130,5,2,Suburb,2001,272436.239065061,127.90433758923051,24,High-End
2095,2,3,Suburb,2020,198208.80390657103,94.61040759263534,5,Mid-Range
2724,2,1,Suburb,1993,343429.3191099182,126.07537412258377,32,High-End
2044,4,3,Rural,1957,184992.321268412,90.50504954423288,68,Budget
2638,4,3,Urban,1959,377998.58815204125,143.28983629721048,66,High-End
1121,5,2,Urban,2004,95961.92601406392,85.60385906696158,21,Budget
1466,5,3,Suburb,1951,191113.7686788604,130.3640986895364,74,Mid-Range
2238,3,3,Suburb,1987,253358.64500167352,113.20761617590416,38,Mid-Range
1330,2,2,Suburb,1992,132172.3926169813,99.37773880976037,33,Budget
2482,4,3,Suburb,1989,231157.02767588635,93.13337134403156,36,Mid-Range
1087,4,1,Urban,1976,118393.82316264397,108.9179605912088,49,Budget
2396,2,2,Suburb,1993,267377.3996858498,111.59323860010426,32,High-End
2123,5,2,Rural,1956,190773.14856300573,89.86017360480722,69,Mid-Range
1871,4,2,Suburb,1977,172989.80490101498,92.45847402512827,48,Budget
2687,5,1,Urban,1979,239222.6677969504,89.0296493475811,46,Mid-Range
1130,4,3,Rural,1962,143050.20178240183,126.5930989224795,63,Budget
2685,4,3,Urban,1999,405523.82831733953,151.0330831721935,26,High-End
2332,3,3,Rural,1978,263954.1540627713,113.18788767700313,47,High-End
1769,4,1,Suburb,1963,148310.62016790514,83.83867731368295,62,Budget
1343,2,3,Rural,2013,151733.92248999208,112.98132724496804,12,Budget
2515,2,3,Urban,2013,307961.1073823952,122.44974448604182,12,High-End
2437,2,1,Rural,2004,276162.86180465267,113.32082962849925,21,High-End
1805,5,1,Rural,2002,243985.2054715822,135.17185898702616,23,Mid-Range
1385,4,3,Rural,1996,88030.54185271678,63.55995801640201,29,Budget
2215,5,1,Urban,1952,282908.98169371625,127.72414523418341,73,High-End
1955,3,1,Rural,2014,240976.55176671065,123.26166330778038,11,Mid-Range
1276,4,1,Rural,1965,104747.33458904953,82.09038760897299,60,Budget
2184,2,2,Suburb,1959,347207.38956128363,158.97774247311523,66,High-End
1459,3,2,Rural,2006,77493.9314389322,53.11441496842508,19,Budget
2337,3,3,Suburb,2008,331851.0816694101,141.99875124921272,17,High-End
1021,4,3,Rural,2013,110408.67080143408,108.13777747447021,12,Budget
1252,2,1,Urban,1993,127932.75677961828,102.1827130827622,32,Budget
1747,5,3,Rural,1982,228683.2269961876,130.90053062174448,43,Mid-Range
1856,4,2,Rural,1959,124711.70785494654,67.19380811150137,66,Budget
2584,2,3,Suburb,2001,415850.77083678055,160.93296085014728,24,High-End
1474,3,3,Urban,1959,184819.96119001516,125.38667651968464,66,Budget
2082,4,2,Suburb,1966,164855.98777549056,79.18155032444311,59,Budget
1510,3,2,Suburb,2002,156928.01471681413,103.92583756080406,23,Budget
2705,2,1,Urban,1971,282457.8613741379,104.42065115494933,54,High-End
2499,5,1,Urban,2021,287591.6728221959,115.08270220976227,4,High-End
1699,5,1,Rural,1960,156313.5941951282,92.00329263986356,65,Budget
1975,3,3,Suburb,2016,279764.3710402287,141.6528460963183,9,High-End
2806,3,3,Suburb,1962,366494.48060208897,130.6110052038806,63,High-End
1189,3,3,Urban,2007,244539.2816890332,205.66802496975038,18,Mid-Range
1957,4,2,Rural,1994,239299.9944944986,122.27899565380612,31,Mid-Range
1686,2,3,Urban,1994,249148.34468610145,147.77481891227845,31,Mid-Range
1957,3,2,Rural,1992,304197.5798399542,155.44076639752387,33,High-End
1562,3,3,Rural,2013,89378.55062087673,57.22058298391596,12,Budget
2899,3,3,Rural,1988,427295.4046033164,147.39406850752547,37,High-End
2590,5,2,Suburb,1957,328501.8015463275,126.83467241170945,68,High-End
2267,3,2,Urban,1989,215867.4189845816,95.22162284277971,36,Mid-Range
1831,2,2,Rural,2000,190058.8928999779,103.80059688693494,25,Mid-Range
2528,5,1,Urban,1969,259751.15444635935,102.74966552466746,56,High-End
2154,2,1,Rural,2015,166810.3886512713,77.44214886317144,10,Budget
2508,5,3,Suburb,2007,352932.1624639027,140.72255281654813,18,High-End
2842,5,3,Urban,2014,422042.91851435706,148.50208251736703,11,High-End
1646,4,3,Suburb,1994,91423.61964633202,55.54290379485542,31,Budget
1020,5,1,Rural,1983,220053.8603574218,215.73907878178608,42,Mid-Range
1840,5,3,Suburb,1961,216148.20845399628,117.47185242065015,64,Mid-Range
1166,2,2,Suburb,1972,161587.15372788318,138.5824646036734,53,Budget
